type,postId,code,username,fullName,isVerified,text,likeCount,replyCount,repostCount,quoteCount,mediaType,media,hashtags,mentions,urls,isReply,isRepost,repostedFrom,timestamp,date,url,scrapedAt,searchQuery
post,3973693860195375089,DclZYMnGJfx,boykham10,Boy Marpaung,False,"dulu kl Jokowi ga jadi Gubernur DKI, jkt utk pelayanan publik pasti msh ancur2an kya dulu2",152,3,1,0,text,[],[],[],[],True,False,,1787921243,2026-08-28T12:47:23.000Z,https://www.threads.com/t/DclZYMnGJfx,2026-08-30T01:17:31.871Z,Jokowi
post,3973763502804549931,DclpNoWE8Er,raavaholic,Raavaholic,False,"Pas jokowi naek jadi gubernur, gw suka dapet kabar dari tmn2 asn pada komplain, gara2 jokowi gubernur. Katanya jadi susah ""main"" 🤣",169,3,0,0,text,[],[],[],[],True,False,,1787929545,2026-08-28T15:05:45.000Z,https://www.threads.com/t/DclpNoWE8Er,2026-08-30T01:17:31.871Z,Jokowi
post,3965459554381324079,DcIJHRuE98v,icadpi,Rishad Purwanto,False,"Cuma nanya ini apa konsepnya jokowi, prabowo, dan gibran duduk sejajar? Kan banyak mantan presiden lain kenapa gak dijejerin bareng? Simbolismenya gila bgt",9843,2512,315,8,photo,"[{'type': 'photo', 'url': 'https://scontent-dfw5-1.cdninstagram.com/v/t51.82787-15/776718678_17982212307099323_6897933404473776890_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzk2NTQ1OTU1NDM4MTMyNDA3OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMzY1Mi5zZHIucmVndWxhcl9waG90by5DMiJ9&_nc_ohc=iI84w9ZfKQYQ7kNvwFhAU5F&_nc_oc=AdrwfiMV2NT2BBvddJG2WsMOBDgBj6Yaf4pf9g7Z7SeYkbl05UuAizRb6tMf_mRQ_tY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_gid=nHR7Bzd4S2yfFBvFqGyAlA&_nc_ss=7a22e&oh=00_AQJXvPIDVFdYpQCqz9yRSugbAyKb5RL0AhFC1aPIVVtAnQ&oe=6A996B9C', 'width': 3652, 'height': 1855}]",[],[],[],False,False,,1786939637,2026-08-17T04:07:17.000Z,https://www.threads.com/t/DcIJHRuE98v,2026-08-30T01:17:31.871Z,Jokowi
post,3965673939703844668,DcI52_nEk88,tardiiscandar,Tardi Iscandar,False,"Gue kasi tau...mantan presiden yg masih hidup hanya tiga org. Megawati, sby ,Jokowi . 
1. megawati upacara sendiri di sekolah partai pedip
2. sby ada di amerika karna sakit.
3. Jadi hanya pak Jokowi yg bisa hadir.
Tapi  kalo ente bisa bangkit kan mereka yg udah dalam tanah ya mongo jejerin .
Saran saya sebelum menghujat cari info dulu ..",13197,307,228,9,text,[],[],[],[],True,False,,1786965194,2026-08-17T11:13:14.000Z,https://www.threads.com/t/DcI52_nEk88,2026-08-30T01:17:31.871Z,Jokowi
post,3970721621594881812,Dca1kbtID8U,dheskay88,dheska,False,"Habibi yesss✅
Gusdur yesss✅
SBY yesss✅
Jokowi yesss✅
Prabowo yesss✅
Anis nononono❎",2822,234,69,1,text,[],[],[],[],False,False,,1787566925,2026-08-24T10:22:05.000Z,https://www.threads.com/t/Dca1kbtID8U,2026-08-30T01:17:31.871Z,Jokowi
post,3974044427412998162,DcmpFnxkogS,fatur_daqu,Fatur Rohman,False,"Pas tim Bocor Alus udah siapin pertanyaan selevel roket bertenaga nuklir, 

Pak Jokowi cuma duduk santai sambil senyum khasnya.
 
""Ini orang beneran tenang atau emang jago nge-cheat emosi ya?"" 

Sadar gak, 
setiap dicecar pertanyaan sensitif, jawabannya selalu pake template 

""Ya ndak tahu, kok tanya saya"" 

atau muter lewat analogi lain. Bahasa tubuhnya santai banget, gak ada garuk2 kepala atau muka tegang. 

Level poker face-nya udah rata kanan!",409,142,18,0,photo,"[{'type': 'photo', 'url': 'https://scontent-dfw5-2.cdninstagram.com/v/t51.82787-15/787957168_17952085689250338_4596827885844863709_n.webp?_nc_cat=107&ig_cache_key=Mzk3NDA0NDQyNzQxMjk5ODE2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTAxMi5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=up_rZJwkZewQ7kNvwEFr_8B&_nc_oc=AdqNfvHjAZ7aY2OF5D0WYP-0xH3sd1IXKh1t3OEENKA-UCIbKuHi7-3-UQjCctBcOt8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_gid=nHR7Bzd4S2yfFBvFqGyAlA&_nc_ss=7a22e&oh=00_AQLLnOkUU8EE6liyAdpGMkMkY1nupGB8FtSzeGcQaBfkQg&oe=6A99461B', 'width': 1012, 'height': 623}]",[],[],[],False,False,,1787963034,2026-08-29T00:23:54.000Z,https://www.threads.com/t/DcmpFnxkogS,2026-08-30T01:17:31.871Z,Jokowi
post,3974095161294748546,Dcm0n5YknuC,vincent_indonesia,Vincent Nugraha,False,Pak Jokowi terlihat agak emosi saat membahas istrinya😂,5,8,0,0,text,[],[],[],[],True,False,,1787969082,2026-08-29T02:04:42.000Z,https://www.threads.com/t/Dcm0n5YknuC,2026-08-30T01:17:31.871Z,Jokowi
post,3974508928403703209,DcoStACHwWp,mellonezia,Mellon Nezia,False,"Gak ah, aq doain pak anies gak mau lagi nyapres, kalopun nyapres aq doain dia gak menang. Kasian banget beresin sampah²nya 15th kebelakang. Mendjng udah slow living aja ngurusin cucu, sambil nontonin indonesia bubar 2030.",31,4,0,0,text,[],[],[],[],True,False,,1788018407,2026-08-29T15:46:47.000Z,https://www.threads.com/t/DcoStACHwWp,2026-08-30T01:17:31.871Z,Jokowi
post,3974575764929597189,Dcoh5mZgU8F,giovananda,Giovani Nanda,False,"Tapi gpp ka bakal seru, geng solo otomatis hancurrr, pengen liat jokowi dan kroni2nya kaya gimana kalo udh ga berkuasa, bakal kebongkar semua kartunya wkwkwk doain aja",12,2,0,0,text,[],[],[],[],True,False,,1788026374,2026-08-29T17:59:34.000Z,https://www.threads.com/t/Dcoh5mZgU8F,2026-08-30T01:17:31.871Z,Jokowi
post,3972254501310108878,DcgSGxMCRTO,firdu662,Numerouno,False,"Faktor kebencian thd Gibran merupakan motif utama dari Denny Indrayana utk mempermasalahkan Ijazah SMA-nya. Lalu, bagaimana dgn mantan menteri kelautan dimasa Presiden Jokowi yg konon katanya tdk lulus SMA tapi tdk ada yg mempermasalahkannya.",895,2359,22,5,carousel,"[{'type': 'photo', 'url': 'https://scontent-dfw5-2.cdninstagram.com/v/t51.82787-15/787136302_17905080015541711_5062605311662067876_n.webp?_nc_cat=100&ig_cache_key=Mzk3MjI1MjcwNTAyNTkzMjY4Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=kyFueP0L1kEQ7kNvwFRsAvN&_nc_oc=AdqKdCHh-73RCxmySqQJ4fHqvnXSPF3o4M1heBe52kJosHVY2cZWLWvWqa33YCMMuH8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_gid=nHR7Bzd4S2yfFBvFqGyAlA&_nc_ss=7a22e&oh=00_AQIr49l-T6ygpQJyaVh-Td_iwyFnG1SL3BlzI5-ZNeWULw&oe=6A993C51', 'width': 1080, 'height': 1918}, {'type': 'photo', 'url': 'https://scontent-dfw6-1.cdninstagram.com/v/t51.82787-15/787022136_17905080006541711_488996318831433277_n.webp?_nc_cat=101&ig_cache_key=Mzk3MjI1MjcwMTE5MjI3ODM4OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=kBQnNsPwljoQ7kNvwGAyzPM&_nc_oc=AdpkVKHde56ROnJNeK4JkzkeELSB6H6-6Jo5KcGwdKB6OsPIvkbDeUu-0FGvvFH8-Gs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dfw6-1.cdninstagram.com&_nc_gid=nHR7Bzd4S2yfFBvFqGyAlA&_nc_ss=7a22e&oh=00_AQJZPtFGwtEX2oY60QTkBBXit4_PH_1-XeXx6N0c5wqBrQ&oe=6A996756', 'width': 1080, 'height': 1362}]",[],[],[],False,False,,1787749658,2026-08-26T13:07:38.000Z,https://www.threads.com/t/DcgSGxMCRTO,2026-08-30T01:17:31.871Z,Jokowi
